block_time,score,block_hash
11.34,91.1,00000000000000000003ba727bed1572681f447f3b0da284058a9c4daba1df17
9.52,97.899994,00000000000000000002b304d429f579c416957650c013027c039fbfc906f5ce
5.04,98.6,00000000000000000003836121b0d932d1793ccf51f2b3ca8b038d092f6d904b
13.26,76.3,000000000000000000030edc9feb8c188e069bb8a40029823993ff46f5c3a7c5
6.83,94.8,00000000000000000002f20236806312d8a14093b84d053ae64d4a2afa190e40
6.42,79.7,000000000000000000015dc2d91a7f3a3203b04c1f5107d15c73c07b4ecbc320
21.96,90.200005,00000000000000000000124c152c9bc1350f7612ee14c3da5095b9da288dbdd9
16.64,98.9,00000000000000000003a1c3bb6ed6c65b691a9893f8806b68eeb183dd721b1c
10.83,96.0,000000000000000000016fea60b0d98a5a5c52343806538290c2c1fe121074c8
6.16,47.7,0000000000000000000478f4012ae3fd15df54f3e39633a61c6a207ce7e84149
12.16,3.4,0000000000000000000162817cc623896ca4fff349519dad71fb9f057d13d1f1
7.07,60.9,00000000000000000002d475aafb3427428a4ac7a8fc96ca71f3f4866b2d5d56
10.79,66.6,000000000000000000032af64177b40a42f4190aae22e1a8576da3072db1c736
9.67,66.799995,00000000000000000002d8d2f37ac4139e4dc1e63231c0e8d72972cdc855e9af
4.74,25.8,0000000000000000000201544ea76f0e30653b9076d9c22317d29eb5fa64afc3
4.01,13.9,000000000000000000023e08707d33597b9a0de0ab66c9441b9331e84e8786bb
39.02,93.7,00000000000000000003723c3ba4544e4d890e1fe5d2bcdc3e5938067d27a347
28.13,90.6,00000000000000000000a2b0141ad107c86c03c3af2198b745998950d52511f8
5.51,55.699997,00000000000000000001c4ecbe44916bd674bc969f58bc86032fa5c3593ef89b
23.47,90.7,00000000000000000003e830dc7f88372310b0b62e0a8a80086ff89a0c172dc2
12.74,99.8,00000000000000000003b3aa3a744d769ac9b50c56bd1bd17d2d18fcbde70c87
5.1,97.0,00000000000000000002e7d1cb4beb6ddbc9f8ee38601ba29d1fad925461c5ba
15.03,99.5,00000000000000000000bde9ac5a5a16f43b3a9f2decbd2100b42483d53c1eff
8.31,57.7,0000000000000000000303481e525a7e73a5900b14b3241b31b2f8e4b1196caa
3.07,19.2,000000000000000000008212c71daffa8c55cfb54009a33a303a2a4d29a32320
9.67,88.6,00000000000000000002a35d622bd869834483b6d5b812c8e3ca2d52ab6bd2fa
42.01,89.9,000000000000000000046eaf7aacd4b9cbb6c458701ba97b73b068064caba5aa
25.16,85.399994,00000000000000000001d488f5982ce309b15e7e2ffd5732610151c110128230
19.11,88.700005,000000000000000000021ec13e2254eddd2d0706b48368409995514891a2e78d
5.32,65.4,00000000000000000001b8bd32876d1d82663250ca9315a8083f2f86b8efff3f
16.75,85.9,00000000000000000003d63d89d30295b59b95f0bddb9d3304e70d0f1e64c010
21.26,96.4,00000000000000000002eb6d94054ff428c9890ccaa82551fb111a0d400cca88
22.68,88.3,00000000000000000001877e766a1a7225c4589e2c866293b83165fbedb254bd
19.54,77.9,00000000000000000000d001b339e65ad21637842b9a2d9f045ee3eb096bf15c
10.15,16.0,000000000000000000006f63d9f4a928d7b85176c83fedf4dbb8d79550dc2c06
5.46,34.2,00000000000000000001e982026d118300f0f08e9423713f19e405e30b2904bc
10.84,62.4,0000000000000000000405967d19e2fb85df9dab36e7f12b90872e08734f1a93
4.65,15.2,00000000000000000000c27b0ff6b0f4c35fc62c09b69dcbdd6c43d8e1e97f39
4.57,17.0,000000000000000000048af047be7a6a923a8780d2c7fff4c519fc582a738b4a
10.37,92.1,00000000000000000004873597bcf4ce318f4537809df9002e4cbc0cf959476a
23.49,99.6,00000000000000000002d22339102b05bba68aadb550cfa74d9a5ac843bed52d
14.18,97.0,000000000000000000011f563eefc920ae41e2c567064373e6126485fc844c14
27.4,88.6,000000000000000000029d1f98cd36525b8c86840edac3f72dedf57c5c0eaee6
3.26,80.7,0000000000000000000063f88bf35288707a1c1111cb5e0a3e1cf52068f36f0d
14.85,93.4,000000000000000000025bbd9af755e969fc1fbe7b15d47bd1751976c3c04a10
6.26,49.7,00000000000000000003f76e243d3376ea0a11c59813b4a82a52381e408de98f
22.77,95.5,0000000000000000000206fbe5befcb5b4b41c6ba6a712011d153eb05957744a
5.57,83.0,000000000000000000025d4414a12387867ddb44d52c30cf10d16941b3d666f0
9.72,62.5,0000000000000000000361e326973bf4a552f8edfa622065382c5da3011a0767
8.24,70.4,00000000000000000000dbbc050fb30b67659bc26a483a472ab50b71201c46ae
18.95,94.2,0000000000000000000132ee03e88e3dd704380451b36392e6d1a2c4e1b68621
6.59,74.7,000000000000000000045ded4d25af9e78fec5cf80347ad0341cd3d5625900cc
15.19,81.0,00000000000000000002fc00ec06c74dbf334a5b3d1a27c0f988ef4b373435fb
10.46,95.3,000000000000000000020fa6282f97cdf9f0fcccec3770d0d2572b4a824be0b9
6.92,79.299995,00000000000000000003ad238d8ac8e41a24e3f592642b201f78d7dd1cbe8f7e
11.01,79.4,000000000000000000032cf9b8ddfd479f6d111ac4e7b3d90c970843c663ec90
8.44,89.3,000000000000000000014258702cb864cc0624aa13b19ec98b77d12dac8d3e98
15.89,86.6,00000000000000000001e3eeddd11bae54e090129d5e89df4617f161d021d7a6
9.44,82.3,000000000000000000001a075e67f1cfb7a1c390e8433a8bab92a4f6154ff3f5
14.1,77.3,000000000000000000020d1b2b5537819240c906d8b69c6c4af0774fc54aeed2
4.67,53.7,0000000000000000000483d723b6121f21ba3fec9ce4cdb217dcae55c8533f01
5.31,68.7,0000000000000000000046fa8146983a52c306b844c2a4a51776ee4744657ee0
18.5,99.5,000000000000000000039106655008dc48284f6c76cd2772e8fc9f6b62af53cf
7.52,72.799995,000000000000000000011876ae33a743a214bec6239df9da4eee2b957ec94101
14.78,82.3,00000000000000000001fd09b552fac94d6c032741e6b0c6a0c07026227e3f8b
17.18,95.3,00000000000000000002df8bdb7f7ab606462100d55ff2815eb793bcf63197fc
6.2,79.799995,00000000000000000000fb380a06716309ade6744f7c5d7acad4366b398b62a4
18.43,82.8,000000000000000000028744d1a2831f4fe3c409051d39203995562a78a17193
4.37,46.2,00000000000000000000663831c53eed78b84f80efc07c6e73cec4195f1f1f9a
5.61,59.600002,00000000000000000001327f03fff15da700c3e6a1f8d3cf15d3f6d6f8d68901
15.95,69.6,0000000000000000000148c918cdc160e41f7306cc8d5ceac8188ad24a413cbc
24.79,86.2,000000000000000000006bfa9922e793148f4e7b489e2da92a3932471a0a8cfa
6.6,91.5,00000000000000000002e0eb53156c4f4839f788d6e0691f9e3528deeb544459
43.62,87.1,00000000000000000000aafe598ea98cff2338f9d8ec7a579a7982ab9be6f7e9
